State,Party,Value
AL,blue,0.45
AK,blue,0.36
AZ,blue,0.62
AR,blue,0.3
CA,blue,0.2
CO,blue,0.6
CT,blue,0.83
DE,blue,0.39
FL,blue,0.14
GA,blue,0.46
HI,blue,0.34
ID,blue,0.71
IL,blue,0.85
IN,blue,0.17
IA,blue,0.96
KS,blue,0.42
KY,blue,0.83
LA,blue,0.09
ME,blue,0.14
MD,blue,0.78
MA,blue,0.25
MI,blue,0.26
MN,blue,0.25
MS,blue,0.44
MO,blue,0.27
MT,blue,0.11
NE,blue,0.44
NV,blue,0.64
NH,blue,0.65
NJ,blue,0.04
NM,blue,0.68
NY,blue,0.15
NC,blue,0.5
ND,blue,0.77
OH,blue,0.95
OK,blue,0.79
OR,blue,0.27
PA,blue,0.56
RI,blue,0.8
SC,blue,0.29
SD,blue,0.61
TN,blue,0.98
TX,blue,0.8
UT,blue,0.75
VT,blue,0.05
VA,blue,0.88
WA,blue,0.93
WV,blue,0.84
WI,blue,0.64
WY,blue,0.77
DC,blue,0.19
